,,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,102,103,104,105,106,107,108,109,110,111,120,121,122,123,124,125,126,127,128,130,131,132,133,134,__
,,____,__,______,__,__,____,__________,_____,__,_____,_____,_____,_________,_______,__________,_______,__,________________,___,______,____________,______,______,____________,____,________,____,________,________,______________________,____,____,___,_______________,____,____,________,____,___________,_________,___________,___,"_________
__",_____,__,____,________,_________,________,__________,________,_____,_____,_____,______,________,_______,_______,____________,________,__________,___________,___,__________,______,____________,__________,___________,__,____,____,________,__,______,__,_____,__,__,_____,_________,_____,____,____,__,____,______,__,________,______,__,__,______,_____________,____________,__,__,__,____,_________,__,_____________,________,__,__________,____________,___,______,____________,______,___________,____,____,___,_____,________,__,__,__,____,_________,____,__,__,____,_____________,__(__)
026,________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906.8580938,552.5500923,0,2494.042082,0,44883.23965,696025287.6,0,0,0,0,0,0,0,0,0,0,14506.08162,0,0,0,0,0,0,0,0,0,0,27.02557233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33954.18754,0,0,0,0,0,0,0,0,0,0,0,107.1013422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26952.23025,0,0,0,0,0,0,323.3059209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696149994.3
027,____,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169551593,1569,0,0,0,0,0,303,0,0,0,0,0,0,0,0,2908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169556373
028,________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4138,167629153.8,0,0,3965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481669.2969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168139594.1
029,________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,0,0,0,0,0,0,0,3695,4703,41627115.76,41627115.76,0,0,0,6494.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7496.008407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83277156.02
030,______________________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,0,0,0,0,0,0,0,3695,4703,41627115.76,41627115.76,0,0,0,6494.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7496.008407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83277156.02
031,____,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7783.471203,0,0,0,0,0,0,0,0,0,15875.11615,0,0,0,0,1.66E+08,0,3800,500,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153.112894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166116140.7
032,____,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667.6879281,0,0,0,0,0,0,0,0,0,0,165875702.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165876370.6
033,___,0,0,0,0,0,0,0,0,95.68074171,95.68074171,0,0,0,0,0,29706.10233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174256706.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174286603.6
034,_______________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,15.05528876,23540.49431,230,0,0,0,164949,47769.53405,24477,24477,82344.01593,0,66660,333945842.7,0,0,59476,0,0,0,0,0,0,0,0,0,0,0,0,0,3424.462765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.595672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12226.60536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334456630.5
035,____,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331721174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331721174
036,____,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1699,0,0,0,0,0,0,0,0,0,0,0,0,97720,0,0,0,0,0,0,0,500473442.4,0,0,0,0,0,0,22857.71602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500596115.1
037,________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918.3726141,15004.23548,52234.00452,1573,214651,9842.338421,0,0,0,0,2022,0,0,0,0,0,1003860487,8,0,22718.05314,0,0,0,0,0,0,0,62,0,129882.6313,0,0,89768.08202,0,0,0,0,3480,0,0,0,0,0,0,1493,0,23572.5857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468546.6635,0,0,0,0,0,0,5437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004901700
038,____,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2667,0,0,0,665090272.1,2840,0,0,0,0,0,0,0,0,0,0,0,29585.37769,0,5612.20386,0,0,20.48323397,0,0,0,0,0,0,0,0,0,0,70456.27582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6484.970977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665207938.4
039,___________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18322,0,0,4893,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493344837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54071.32916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493422185
040,_________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,2881,0,168216854.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168220589.3
041,___________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2054,1684,0,0,0,179944726.3,0,33268.47525,0,200,0,0,0,0,0,5800,0,7109.312174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8950.010037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,78409.19455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180082445.2
042,___,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.8109018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66E+08,0,0,0,0,0,0,0,0,0,0,1364.40767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166075210.3
043,___________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5397,0,0,0,0,2276,0,0,0,0,0,0,11191,0,0,0,0,0,0,39391.8653,0,1004557075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5402.370713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004620733
